CONTA,PRODUÇÃO,IMPORTAÇÃO,VARIAÇÃO DE ESTOQUES,EXPORTAÇÃO,NÃO-APROVEITADA,REINJEÇÃO,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,RESIDENCIAL,COMERCIAL,PÚBLICO,AGROPECUÁRIO,RODOVIÁRIO,FERROVIÁRIO,AÉREO,HIDROVIÁRIO,INDUSTRIAL - TOTAL,Ano
 NAFTA ,0,8160,41,0,0,0,7129,0,0,0,0,0,0,0,0,0,0,2017
 QUEROSENE ,0,473,-63,-2234,0,0,2,0,2,0,0,0,0,0,3296,0,1,2017
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,1202,2017
 COQUE DE CARVÃO MINERAL ,0,1061,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,7745,2017
 URÂNIO CONTIDO NO UO2,0,3063,-4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 ELETRICIDADE,0,3140,0,-13,0,0,0,3086,11562,7757,3725,2471,0,177,0,0,17173,2017
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,385,84,0,9,0,0,0,0,3405,2017
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,975,-213,-728,0,0,491,0,0,0,0,9,13848,0,0,0,0,2017
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1738,4,-578,0,0,276,3698,0,0,0,0,0,0,0,0,6546,2017
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1136,-11,-682,0,0,6307,0,0,0,0,0,0,0,0,0,0,2017
 ALCATRÃO ,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,91,2017
 PETRÓLEO ,130373,8009,-501,-43812,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 GÁS NATURAL ,37610,10320,0,0,-1459,-10903,677,5528,357,134,43,0,1593,0,0,0,8856,2016
 CARVÃO VAPOR ,2636,4992,-150,0,0,0,0,0,0,0,0,0,0,0,0,0,3258,2016
 CARVÃO METALÚRGICO ,0,7917,-222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 URÂNIO U3O8 ,0,4173,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 ENERGIA HIDRÁULICA ,32758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 LENHA ,23502,0,0,0,0,0,0,0,6064,90,0,2618,0,0,0,0,7227,2016
 PRODUTOS DA CANA ,50658,0,0,0,0,0,0,12237,0,0,0,0,0,0,0,0,17554,2016
 OUTRAS FONTES PRIMÁRIAS ,18324,0,0,0,0,0,0,0,539,104,0,0,0,0,0,0,7434,2016
 BIODIESEL ,0,0,-1,0,0,0,0,0,0,1,0,404,2409,62,0,0,70,2016
 ÓLEO DIESEL ,0,7182,-212,-706,0,0,0,645,0,8,2,5748,34262,885,0,328,990,2016
 ÓLEO COMBUSTÍVEL ,0,62,-2,-6699,0,0,0,203,0,17,1,11,0,0,0,867,2353,2016
 GASOLINA ,0,2934,-29,-561,0,0,0,0,0,0,0,0,24181,0,44,0,0,2016
 GLP ,0,2111,46,0,0,0,0,1,6573,396,258,18,0,0,0,0,1020,2016
 NAFTA ,0,6630,96,0,0,0,6277,0,0,0,0,0,0,0,0,0,0,2016
 QUEROSENE ,0,786,50,-2281,0,0,3,0,2,0,0,0,0,0,3303,0,1,2016
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,1114,2016
 COQUE DE CARVÃO MINERAL ,0,764,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,7110,2016
 URÂNIO CONTIDO NO UO2,0,2180,-2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
 ELETRICIDADE,0,3553,0,-45,0,0,0,3033,11429,7646,3727,2429,0,173,0,0,16874,2016
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,429,84,0,8,0,0,0,0,3221,2016
