Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Outros,490,490,490,490,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Pot. Compl.,0,12119,31557,62958,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
GD,17,13669,27728,49888,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Hidro,95237,133697,152434,159819,42. Sobrecusto de 100% no CAPEX de PCH
Gás Natural,11242,17425,25472,26109,42. Sobrecusto de 100% no CAPEX de PCH
Carvão,3174,2251,340,0,42. Sobrecusto de 100% no CAPEX de PCH
Nuclear,1990,3395,3395,3395,42. Sobrecusto de 100% no CAPEX de PCH
Óleos Comb,5184,0,0,0,42. Sobrecusto de 100% no CAPEX de PCH
Biomassa,12000,22360,22361,22361,42. Sobrecusto de 100% no CAPEX de PCH
Eólica,6556,48537,104324,139590,42. Sobrecusto de 100% no CAPEX de PCH
Solar,21,2170,4719,43479,42. Sobrecusto de 100% no CAPEX de PCH
Outros,490,490,490,490,42. Sobrecusto de 100% no CAPEX de PCH
Pot. Compl.,0,15311,31891,64717,42. Sobrecusto de 100% no CAPEX de PCH
GD,17,13669,27728,49888,42. Sobrecusto de 100% no CAPEX de PCH
Hidro,95237,135165,141007,142482,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Gás Natural,11242,17153,25279,31466,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Carvão,3174,2251,340,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Nuclear,1990,3395,3395,3395,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Óleos Comb,5184,0,0,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Biomassa,12000,13556,13556,13556,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Eólica,6556,50928,106001,147156,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Solar,21,6353,24892,67850,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Outros,490,490,490,490,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Pot. Compl.,0,12353,36249,64114,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
GD,17,13669,27728,49888,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Hidro,95237,120461,125571,126413,36. Estagnação
Gás Natural,11242,7305,7781,7412,36. Estagnação
Carvão,3174,2251,340,0,36. Estagnação
Nuclear,1990,3395,3395,3395,36. Estagnação
Óleos Comb,5184,0,0,0,36. Estagnação
