CONTA,    PRODUÇÃO  ,    IMPORTAÇÃO  ,VARIAÇÃO DE ESTOQUES,    EXPORTAÇÃO  ,    NÃO-APROVEITADA  ,    REINJEÇÃO  ,CONSUMO FINAL NÃO-ENERGÉTICO,SETOR ENERGÉTICO,    RESIDENCIAL  ,    COMERCIAL  ,    PÚBLICO,    AGROPECUÁRIO  ,      RODOVIÁRIO  ,      FERROVIÁRIO  ,      AÉREO ,      HIDROVIÁRIO  ,   INDUSTRIAL - TOTAL  ,CONSUMO NÃO-IDENTIFICADO,Ano
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,405,78,0,9,0,0,0,0,3811,0,2019
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,767,229,-1017,0,0,563,0,0,0,0,8,17491,0,0,0,0,0,2019
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2134,-26,-582,0,0,0,3088,0,0,0,0,0,0,0,0,6517,0,2019
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1142,39,-387,0,0,6471,0,0,0,0,0,0,0,0,0,0,0,2019
 ALCATRÃO ,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,82,0,2019
 ENERGIA SECUNDÁRIA TOTAL ,0,34862,-4896,-15340,0,0,13943,7301,19208,8659,4240,9460,76935,1219,3347,1171,39075,0,2019
 TOTAL  ,327672,67886,-4137,-78847,-1545,-15570,14252,27718,27354,8996,4267,12631,78945,1219,3347,1171,79136,0,2019
 PETRÓLEO ,134067,9627,-153,-55726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 GÁS NATURAL ,40559,9324,0,0,-1341,-12637,578,6060,404,112,39,0,1946,0,0,0,9226,0,2018
 CARVÃO VAPOR ,1929,5603,-259,0,0,0,0,0,0,0,0,0,0,0,0,0,3795,0,2018
 CARVÃO METALÚRGICO ,0,8205,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 URÂNIO U3O8 ,0,5116,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 ENERGIA HIDRÁULICA ,33451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 LENHA ,26249,0,0,0,0,0,0,0,7247,86,0,3054,0,0,0,0,7389,0,2018
 PRODUTOS DA CANA ,50894,0,0,0,0,0,0,14295,0,0,0,0,0,0,0,0,13232,0,2018
 OUTRAS FONTES PRIMÁRIAS ,22441,0,0,0,0,0,0,0,619,124,0,0,0,0,0,0,8120,0,2018
 ENERGIA PRIMÁRIA TOTAL ,309595,37876,105,-55726,-1341,-12637,578,20356,8271,323,39,3054,1946,0,0,0,41764,0,2018
 BIODIESEL ,0,0,25,0,0,0,0,0,0,2,0,604,3369,104,0,0,93,0,2018
 ÓLEO DIESEL ,0,9879,124,-1211,0,0,0,556,0,20,1,6022,33567,1042,0,313,933,0,2018
 ÓLEO COMBUSTÍVEL ,0,305,215,-7757,0,0,0,168,0,15,1,12,0,0,0,975,1288,0,2018
 GASOLINA ,0,2492,149,-1073,0,0,0,0,0,0,0,0,21557,0,36,0,0,0,2018
 GLP ,0,2130,-94,0,0,0,0,0,6531,393,259,21,0,0,0,0,983,0,2018
 NAFTA ,0,6101,-159,0,0,0,6217,0,0,0,0,0,0,0,0,0,0,0,2018
 QUEROSENE ,0,736,205,-2795,0,0,1,0,2,0,0,0,0,0,3387,0,0,0,2018
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,1240,0,2018
 COQUE DE CARVÃO MINERAL ,0,1268,-363,0,0,0,0,0,0,0,0,0,0,0,0,0,7880,0,2018
 URÂNIO CONTIDO NO UO2,0,1150,-2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
 ELETRICIDADE,0,3008,0,0,0,0,0,3205,11851,7793,3901,2615,0,169,0,0,17265,0,2018
 CARVÃO VEGETAL ,0,0,0,0,0,0,0,0,406,81,0,8,0,0,0,0,3714,0,2018
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,947,-868,-883,0,0,556,0,0,0,0,8,15717,0,0,0,0,0,2018
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2198,-19,-553,0,0,276,3164,0,0,0,0,0,0,0,0,5987,0,2018
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1242,-35,-486,0,0,6337,0,0,0,0,0,0,0,0,0,0,0,2018
 ALCATRÃO ,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,90,0,2018
 ENERGIA SECUNDÁRIA TOTAL ,0,31462,-3395,-14762,0,0,13551,7304,18791,8306,4164,9294,74211,1316,3424,1289,39479,0,2018
 TOTAL  ,309595,69338,-3290,-70489,-1341,-12637,14129,27660,27063,8630,4203,12348,76158,1316,3424,1289,81243,0,2018
 PETRÓLEO ,135906,7491,224,-53881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 GÁS NATURAL ,39809,9433,0,0,-1346,-9959,689,5296,379,92,42,0,1734,0,0,0,8995,0,2017
 CARVÃO VAPOR ,1930,5452,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3660,0,2017
 CARVÃO METALÚRGICO ,0,8580,-222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 URÂNIO U3O8 ,0,5206,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 ENERGIA HIDRÁULICA ,31897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
 LENHA ,24863,0,0,0,0,0,0,0,6486,89,0,3135,0,0,0,0,7345,0,2017
 PRODUTOS DA CANA ,49724,0,0,0,0,0,0,11925,0,0,0,0,0,0,0,0,17199,0,2017
 OUTRAS FONTES PRIMÁRIAS ,20043,0,0,0,0,0,0,0,581,114,0,0,0,0,0,0,7657,0,2017
 ENERGIA PRIMÁRIA TOTAL ,304177,36163,585,-53881,-1346,-9959,689,17222,7446,296,42,3135,1734,0,0,0,44858,0,2017
 BIODIESEL ,0,0,-33,0,0,0,0,0,0,0,0,484,2678,74,0,0,74,0,2017
 ÓLEO DIESEL ,0,10986,-59,-582,0,0,0,569,0,12,2,6149,34031,952,0,316,942,0,2017
 ÓLEO COMBUSTÍVEL ,0,71,-64,-6983,0,0,0,177,0,18,6,13,0,0,0,924,1980,0,2017
 GASOLINA ,0,3456,-51,-368,0,0,0,0,0,0,0,0,24816,0,39,0,0,0,2017
 GLP ,0,2011,-67,-1,0,0,0,26,6605,394,258,19,0,0,0,0,999,0,2017
 NAFTA ,0,8159,41,0,0,0,7128,0,0,0,0,0,0,0,0,0,0,0,2017
 QUEROSENE ,0,473,-62,-2233,0,0,1,0,2,0,0,0,0,0,3295,0,1,0,2017
 GÁS DE CIDADE E DE COQUERIA ,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,1201,0,2017
 COQUE DE CARVÃO MINERAL ,0,1061,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,7744,0,2017
