PAIS,PRODUTO,DADO_TIPO,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Provisional
Canada,Natural gas,Total energy supply (PJ),1305.3753,1466.733601,1561.053601,1547.333101,1597.0338,1613.589299,1682.122501,1706.917501,1827.573298,1907.729098,1812.788099,1842.1209,1822.403701,1954.197902,2089.227598,2009.395802,2041.5051,2244.979799,2351.594702,2291.985899,2319.6987,2444.366699,2594.231099,2721.782698,2809.789201,2949.104699,2971.153798,2851.937101,2978.7003,3109.0482,3009.432601,3070.958402,3338.0658,3266.767799,3397.9131,3327.067801,3312.330298,3212.776798,3220.4619,3169.255502,3449.703598,3504.3543,3669.132601,3712.810501,3576.790801,4336.0119,4659.158699,4888.842302,4923.0513,4712.728499,4816.818795
Canada,Nuclear,Total energy supply (PJ),46.54908942,78.66545444,170.4102711,169.3259988,145.1322735,197.9977285,292.370273,357.3964561,409.2225463,435.3805465,467.4215449,462.08582,567.2499085,605.6066361,683.9720896,805.5271818,870.4632733,916.9316371,892.801907,812.0326358,947.0940895,891.6453622,1031.604271,1180.337908,1070.001091,1014.525635,901.5034549,780.1200005,801.719999,794.1709097,836.6727284,823.9199994,817.003636,986.0400004,1004.072728,1068.69818,1019.803637,1047.490907,982.8109099,988.9963627,1020.970908,1034.85818,1128.425453,1170.327274,1110.643636,1106.49818,1105.079998,1098.883635,1103.967272,1071.218181,1010.222924
Canada,Renewables and waste,Total energy supply (PJ),904.1095997,972.4253976,1027.979402,1082.001201,989.4169979,1030.632401,1060.363199,1136.853397,1176.573602,1224.3618,1262.757997,1229.826001,1290.3862,1363.901602,1448.161798,1489.496801,1513.404003,1480.710203,1409.469598,1523.868796,1564.183598,1596.884198,1625.921607,1711.881405,1749.662397,1792.765202,1775.290403,1738.251797,1816.0878,1871.458004,1741.353604,1854.746003,1799.029395,1857.190997,1849.6228,1796.989599,1878.652802,1880.244343,1847.991233,1788.360169,1895.739074,1919.419297,2028.08203,2021.123803,2011.881606,2049.649602,2113.443803,2098.803605,2085.988208,2064.675872,1966.99612
Canada,Electricity,Total energy supply (PJ),-12.92759911,-31.16159878,-50.53319806,-46.65960001,-26.77320017,-33.17760159,-62.17199964,-70.17479989,-106.5096004,-98.07839838,-121.9536003,-112.9140018,-129.9096005,-140.7312015,-145.1627995,-122.3171987,-158.2416007,-100.238402,-33.69239796,-1.256400065,-66.34080059,-90.18360082,-98.70120162,-158.0903986,-129.6792008,-135.5616004,-128.6316007,-98.40599873,-103.9679992,-128.307601,-83.2607982,-72.10439971,-24.44760024,-38.91239972,-84.58200156,-65.73600058,-110.8223979,-115.7688007,-121.8600002,-91.58040104,-132.5448017,-168.9731981,-187.3620005,-164.2067984,-214.4196016,-229.6800019,-223.6895997,-173.5415998,-169.4736002,-207.4319999,-170.3628012
Canada,Heat,Total energy supply (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Total,Total energy supply (PJ),5918.473275,6385.021633,6671.850798,6770.75979,6948.21779,7161.27476,7382.396469,7586.978343,7966.914621,8037.079172,7851.114516,7543.937289,7516.118235,7900.713505,8080.943141,8219.735665,8493.321877,8846.245813,9095.39487,8845.840095,8824.47532,9032.036089,9331.826234,9662.778334,9792.593107,9986.618622,10091.38291,10041.14151,10318.94805,10620.09707,10467.56497,10498.76487,11052.08583,11328.5677,11404.57868,11580.71277,11580.80928,11289.39116,10857.24791,10853.05613,11101.83358,11185.77304,11422.16382,11719.07169,11638.42494,12141.33418,12651.71575,12848.39135,12891.81733,11876.6843,12143.87734
Chile,"Coal, peat and oil shale",Total energy supply (PJ),55.3000792,46.93632655,50.19962314,48.32103529,38.37182103,39.2850919,41.42311063,42.3043776,45.83004002,51.11823218,50.50940448,34.20357274,41.99284619,54.5011624,52.48219114,54.67114648,53.96044555,75.45201427,98.92820992,104.5105792,83.2494101,74.06748556,74.89144362,89.18707544,98.01776095,134.4782366,173.4988819,164.6858856,170.8037843,128.5583275,100.1203049,101.3775842,100.0499541,113.2143335,113.1790765,138.9027924,136.3750329,184.3468807,148.1783464,186.9106048,226.8209451,258.1552619,271.1219783,256.8621687,275.0636998,297.4812295,307.306167,297.8556634,344.5285649,281.6099165,286.0520024
Chile,"Crude, NGL and feedstocks",Total energy supply (PJ),208.9447368,224.0029858,215.1622018,224.1739748,179.9291535,196.9242916,199.9276717,209.412013,224.8195458,218.6399546,212.2877375,157.0558361,170.0593335,172.0758346,171.0897971,186.2817935,195.0362835,218.0820175,256.7489786,275.1634335,280.8223333,291.2544531,309.5271221,333.3923259,351.8602379,371.2888823,386.0344067,424.1969673,428.1253454,426.0387239,433.6324403,425.7325139,462.8146833,478.4053468,456.1072329,498.0161128,478.1300144,468.2003358,454.485949,387.9988491,417.5576906,398.0293626,417.7948184,400.057951,374.9846921,373.0046036,385.0388568,396.6210613,430.5677403,337.4422887,372.8096118
Chile,Oil products,Total energy supply (PJ),-2.325197995,-4.77849951,-7.092301036,-23.27640156,-5.879900052,-10.30760015,-8.244901955,-10.47709856,-14.7415009,-6.477498763,5.482401073,37.31400089,16.54830188,14.87379959,10.76700097,7.839699264,5.955999329,5.666599339,-9.958998809,-4.247198777,3.792001507,17.2400994,23.27190075,28.2798997,39.85829832,60.90450037,68.71080153,38.15599987,44.49110138,12.57030178,-25.0520988,9.466798601,-25.95309816,-19.14689791,27.87589862,15.72950196,199.9564015,213.9185003,188.8702994,240.3622998,243.5183012,255.4786993,245.6023982,244.6405981,265.2610989,301.7514013,284.3065046,288.1981184,261.616121,298.8044509,322.0476595
Chile,Natural gas,Total energy supply (PJ),26.77139985,26.48159792,22.01130132,22.78529829,25.10910208,26.7291006,27.60929994,26.3429981,29.68740138,30.14459994,30.03840175,31.02299895,32.99489801,33.09930006,33.73470139,30.84840102,30.24989796,40.24620115,59.50080031,47.81609884,40.20569805,47.81789916,44.80920188,48.15630146,47.89079972,49.09949958,82.84139807,117.869402,165.2057982,218.0403002,247.318199,247.0814983,269.6328005,293.6142006,284.6060994,262.2464982,160.3143011,88.26209827,116.6760007,187.0937983,191.1600017,179.4546007,170.0316002,151.7949,166.6917019,182.043902,181.9129431,182.6280695,220.4854249,202.0281097,207.1150172
