data,qtde_negociada,valor_financeiro,mes,ano
2022-08-17,140850,12816298,8,2022
2022-08-18,64365,5845155,8,2022
2022-08-19,51134,4634633,8,2022
2022-08-22,102819,9261414,8,2022
2022-08-23,86832,7842137,8,2022
2022-08-24,117809,10613758,8,2022
2022-08-25,91507,8226670,8,2022
2022-08-26,138647,12436273,8,2022
2022-08-29,112962,10033084,8,2022
2022-08-30,90550,7988450,8,2022
2022-08-31,140665,12344058,8,2022
2022-09-01,41608,3613464,9,2022
2022-09-02,53184,4603914,9,2022
2022-09-05,83343,7157308,9,2022
2022-09-06,184542,15194143,9,2022
2022-09-08,75825,5170274,9,2022
2022-09-09,158145,9679701,9,2022
2022-09-12,70798,4636143,9,2022
2022-09-13,151027,10464747,9,2022
2022-09-14,78037,5848664,9,2022
2022-09-15,106528,8229942,9,2022
2022-09-16,296877,24942121,9,2022
2022-09-19,124252,10920627,9,2022
2022-09-20,373794,33583024,9,2022
2022-09-21,146548,13068790,9,2022
2022-09-22,128164,11209610,9,2022
2022-09-23,104654,9181385,9,2022
2022-09-26,153569,13376503,9,2022
2022-09-27,197650,17177227,9,2022
2022-09-28,154223,13453933,9,2022
2022-09-29,219358,19117488,9,2022
2022-09-30,180893,15920438,9,2022
2022-10-03,61530,5438953,10,2022
2022-10-04,151032,13359016,10,2022
2022-10-05,279749,24862502,10,2022
2022-10-06,125886,11202187,10,2022
2022-10-07,248610,22137545,10,2022
2022-10-10,152883,13661626,10,2022
2022-10-11,110863,9906210,10,2022
2022-10-13,226693,20181560,10,2022
2022-10-14,165946,14801616,10,2022
2022-10-17,115662,10322248,10,2022
2022-10-18,128335,11431300,10,2022
2022-10-19,351729,31217058,10,2022
2022-10-20,137986,12262001,10,2022
2022-10-21,101906,9059585,10,2022
2022-10-24,344536,30749141,10,2022
2022-10-25,662397,59548436,10,2022
2022-10-26,401318,36432301,10,2022
2022-10-27,339759,31229575,10,2022
2022-10-28,767967,71950315,10,2022
2022-10-31,595957,58275092,10,2022
2022-11-01,789211,79467270,11,2022
2022-11-03,134762,13635588,11,2022
2022-11-04,380721,38893797,11,2022
2022-11-07,99560,10176369,11,2022
2022-11-08,164108,16725078,11,2022
2022-11-09,363291,36980479,11,2022
2022-11-10,221150,22536680,11,2022
2022-11-11,139258,14218845,11,2022
2022-11-14,116962,11935196,11,2022
2022-11-16,20607,2091545,11,2022
2022-11-17,204971,20939711,11,2022
2022-11-18,261397,26588591,11,2022
2022-11-21,97514,9856915,11,2022
2022-11-22,215808,21640711,11,2022
2022-11-23,159567,15875294,11,2022
2022-11-24,195915,19533803,11,2022
2022-11-25,70781,7031362,11,2022
2022-11-28,88613,8727740,11,2022
2022-11-29,141464,13734843,11,2022
2022-11-30,127848,12014721,11,2022
2022-12-01,127606,11451181,12,2022
2022-12-02,113978,9770623,12,2022
2022-12-05,55348,4740066,12,2022
2022-12-06,264446,22638945,12,2022
2022-12-07,197150,16652900,12,2022
2022-12-08,180579,15260295,12,2022
2022-12-09,249641,21159643,12,2022
2022-12-12,72320,6157212,12,2022
2022-12-13,145337,12498466,12,2022
2022-12-14,150007,13018448,12,2022
2022-12-15,100201,8727336,12,2022
2022-12-16,207798,18280399,12,2022
2022-12-19,100784,8888203,12,2022
2022-12-20,252791,22410365,12,2022
2022-12-21,170669,15161181,12,2022
2022-12-22,124072,10899644,12,2022
2022-12-23,91579,8011349,12,2022
2022-12-26,29444,2572714,12,2022
2022-12-27,89991,7757871,12,2022
2022-12-28,110833,9590201,12,2022
2022-12-29,347311,29716327,12,2022
2022-12-30,15996,1391652,12,2022
2023-01-03,44783,3807276,1,2023
2023-01-04,125410,10861529,1,2023
2023-01-05,262473,22628271,1,2023
2023-01-06,289982,25053799,1,2023
2023-01-09,238271,20518156,1,2023
2023-01-10,217674,18843141,1,2023
2023-01-11,214850,18595429,1,2023
2023-01-12,135571,11740203,1,2023
2023-01-13,368078,32046442,1,2023
2023-01-16,265562,23143064,1,2023
2023-01-17,218814,19059263,1,2023
2023-01-18,404111,35202394,1,2023
2023-01-19,290228,25278396,1,2023
2023-01-20,384310,33525697,1,2023
2023-01-23,47992,4186469,1,2023
2023-01-24,273190,23804238,1,2023
2023-01-25,459902,40068066,1,2023
2023-01-26,463481,40824514,1,2023
2023-01-27,523561,46535430,1,2023
2023-01-30,523686,47712210,1,2023
