Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Solar,20.0,2170,0,0,36. Estagnaç╞o
Outros,490.0,490,490,490,36. Estagnaç╞o
Pot. Compl.,0.0,190,5039,5302,36. Estagnaç╞o
GD,4.0,3180,5525,8395,36. Estagnaç╞o
Hidro,95236.0,131939,145081,152053,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Gás Natural,11242.0,13958,20334,20565,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Carvão,3173.0,2251,340,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Nuclear,1990.0,3395,3395,3395,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Óleos Comb,5183.0,0,0,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Biomassa,11999.0,25497,27519,28546,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Eólica,6556.0,44167,92204,145981,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Solar,20.0,2170,4718,18291,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Outros,490.0,490,490,490,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Pot. Compl.,0.0,6947,30875,59798,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
GD,17.0,13668,27728,49887,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Hidro,95236.0,132779,135117,135224,24. Expans╞o de 8.000 MW de Usinas Nucleares
Gás Natural,11242.0,17500,25626,31016,24. Expans╞o de 8.000 MW de Usinas Nucleares
Carvão,3173.0,2251,340,0,24. Expans╞o de 8.000 MW de Usinas Nucleares
Nuclear,1990.0,3395,7395,11395,24. Expans╞o de 8.000 MW de Usinas Nucleares
Óleos Comb,5183.0,0,0,0,24. Expans╞o de 8.000 MW de Usinas Nucleares
Biomassa,11999.0,13394,13394,13395,24. Expans╞o de 8.000 MW de Usinas Nucleares
Eólica,6556.0,52747,103295,140874,24. Expans╞o de 8.000 MW de Usinas Nucleares
Solar,20.0,6353,26619,69577,24. Expans╞o de 8.000 MW de Usinas Nucleares
