Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Nuclear,1651.0,2983,2983,2983,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Óleos Comb,4082.0,0,0,0,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Biomassa,4039.0,8574,8400,8184,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Eólica,1333.0,12077,29187,40798,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Solar,4.0,434,943,7604,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Outros,451.0,451,451,451,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Pot. Compl.,0.0,12495,29493,60788,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
GD,0.0,903,2004,3733,61. Carv╞o financiado com reduç╞o de 20 por cento no CAPEX
Hidro,64004.0,93444,111512,111635,43. Repotenciaç╞o de UHE
Gás Natural,9817.0,16146,23158,23392,43. Repotenciaç╞o de UHE
Carvão,2380.0,1688,255,0,43. Repotenciaç╞o de UHE
Nuclear,1651.0,2983,2983,2983,43. Repotenciaç╞o de UHE
Óleos Comb,3810.0,0,0,0,43. Repotenciaç╞o de UHE
Biomassa,4094.0,8825,8651,8434,43. Repotenciaç╞o de UHE
Eólica,1054.0,12268,27387,39417,43. Repotenciaç╞o de UHE
Solar,2.0,434,943,7689,43. Repotenciaç╞o de UHE
Outros,451.0,451,451,451,43. Repotenciaç╞o de UHE
Pot. Compl.,0.0,12946,25491,57300,43. Repotenciaç╞o de UHE
GD,0.0,903,2004,3733,43. Repotenciaç╞o de UHE
Hidro,63306.0,93102,105243,105695,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Gás Natural,10475.0,16146,24035,24638,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Carvão,2380.0,1688,255,0,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Nuclear,1813.0,3144,3144,3144,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Óleos Comb,3623.0,0,0,0,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Biomassa,4009.0,8668,8494,8277,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Eólica,1203.0,12784,29451,40715,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Solar,4.0,434,943,7841,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Outros,451.0,451,451,451,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Pot. Compl.,0.0,12769,28815,60541,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
GD,0.0,903,2004,3733,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Hidro,63958.0,95534,107591,107427,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Gás Natural,10475.0,18468,27643,35649,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Carvão,2380.0,2635,1771,1771,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Nuclear,1651.0,2983,2983,2983,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Óleos Comb,3820.0,0,0,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Biomassa,3951.0,6644,8001,8377,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Eólica,573.0,11014,19779,37497,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Solar,3.0,1385,7517,7517,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Outros,451.0,451,451,451,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Pot. Compl.,0.0,10071,25095,49629,63. Capacidade Instalada de GD limitada a 25 GW em 2050
GD,0.0,451,1002,1866,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Hidro,63306.0,93102,105243,105875,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Gás Natural,10475.0,16146,24035,24458,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Carvão,2380.0,1688,255,0,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Nuclear,1813.0,3144,3144,3144,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Óleos Comb,3623.0,0,0,0,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Biomassa,4009.0,8668,8494,8277,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Eólica,1203.0,12784,29451,40715,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Solar,4.0,434,943,7841,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Outros,451.0,451,451,451,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Pot. Compl.,0.0,12769,28815,60541,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
GD,0.0,903,2004,3733,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Hidro,65331.0,93740,95866,95936,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Gás Natural,9804.0,18511,31171,39167,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Carvão,2106.0,2635,1551,1551,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Nuclear,1651.0,2983,2983,2983,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Óleos Comb,3339.0,0,0,0,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Biomassa,3985.0,6644,8001,9008,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Eólica,593.0,11506,21322,38024,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Solar,2.0,1385,8559,8559,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Outros,451.0,451,451,451,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Pot. Compl.,0.0,11330,30929,55623,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
GD,0.0,903,2004,3733,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Hidro,63352.0,95080,106589,107848,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Gás Natural,9970.0,15799,23337,25504,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Carvão,2380.0,1688,255,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Nuclear,1651.0,2983,2983,2983,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Óleos Comb,4082.0,0,0,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,4039.0,7275,7102,6885,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,1333.0,13174,30439,43669,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,4.0,434,930,4930,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,451.0,451,451,451,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0.0,12301,28746,59031,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,0.0,903,2004,3733,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,63695.0,95448,93174,94709,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Gás Natural,10651.0,19183,33889,39177,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Carvão,2108.0,2635,1821,1551,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Nuclear,1651.0,2983,2983,2983,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Óleos Comb,4156.0,0,0,0,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Biomassa,4211.0,6644,7865,7648,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Eólica,337.0,8006,20916,37033,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Solar,3.0,1385,11431,17481,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Outros,451.0,451,451,451,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Pot. Compl.,0.0,12450,28302,50268,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
GD,0.0,903,2004,3733,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Hidro,63958.0,95534,107591,107427,42. Sobrecusto de 100 por cento no CAPEX de PCH
Gás Natural,10475.0,18468,27643,35649,42. Sobrecusto de 100 por cento no CAPEX de PCH
Carvão,2380.0,2635,1771,1771,42. Sobrecusto de 100 por cento no CAPEX de PCH
