Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Solar,5.0,545,1327,11029,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Outros,427.0,427,427,427,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Pot. Compl.,0.0,0,0,0,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
GD,1.0,3014,6338,11463,55. Reduç╞o de 45 por cento no CAPEX de Usina Nuclear
Hidro,48825.0,73081,82876,87049,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Gás Natural,5788.0,4877,5893,13459,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Carvão,1827.0,622,285,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Nuclear,1724.0,2962,3007,3007,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Óleos Comb,311.0,0,0,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Biomassa,4036.0,5537,5242,5042,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Eólica,2886.0,23125,49392,70824,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Solar,5.0,545,1966,5924,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Outros,427.0,427,427,427,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Pot. Compl.,0.0,0,0,0,63. Capacidade Instalada de GD limitada a 25 GW em 2050
GD,0.0,1507,3169,5731,63. Capacidade Instalada de GD limitada a 25 GW em 2050
Hidro,48809.0,72625,82631,85711,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Gás Natural,5804.0,4556,5764,10443,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Carvão,1827.0,584,285,0,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Nuclear,1724.0,2962,3007,3007,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Óleos Comb,310.0,0,0,0,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Biomassa,4036.0,7940,7675,7445,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Eólica,2886.0,20029,44803,61938,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Solar,5.0,545,1327,11029,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Outros,427.0,427,427,427,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Pot. Compl.,0.0,0,0,0,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
GD,1.0,3014,6338,11463,56. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Hidro,48832.0,74611,83871,86071,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Gás Natural,5788.0,6370,9559,16947,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Carvão,1827.0,933,285,0,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Nuclear,1724.0,3000,3007,3052,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Óleos Comb,310.0,0,0,0,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Biomassa,4029.0,8292,8646,8730,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Eólica,2886.0,14156,29166,53815,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Solar,5.0,1880,10959,10959,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Outros,427.0,427,427,427,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Pot. Compl.,0.0,0,0,0,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
GD,1.0,3014,6338,11463,11. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Hidro,48825.0,73039,82976,86015,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Gás Natural,5788.0,4762,5187,10991,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Carvão,1827.0,622,285,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Nuclear,1724.0,2962,3007,3007,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Óleos Comb,310.0,0,0,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,4036.0,6687,6423,6193,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,2886.0,20623,46305,66432,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,5.0,545,1309,6935,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,427.0,427,427,427,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0.0,0,0,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,1.0,3014,6338,11463,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,48809.0,72523,83453,84116,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Gás Natural,5804.0,4415,4731,8704,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Carvão,1827.0,584,285,0,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Nuclear,1724.0,2917,3007,3007,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Óleos Comb,310.0,0,0,0,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Biomassa,4036.0,8169,7905,7675,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Eólica,2886.0,20088,44785,68363,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Solar,5.0,545,1327,7709,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Outros,427.0,427,427,427,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Pot. Compl.,0.0,0,0,0,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
GD,1.0,3014,6338,11463,46. Integraç╞o Elétrica com países da América do Sul com custo do sistema de transmiss╞o 50 por cento menor
Hidro,48825.0,71054,80194,83296,42. Sobrecusto de 100 por cento no CAPEX de PCH
Gás Natural,5788.0,4708,6001,10496,42. Sobrecusto de 100 por cento no CAPEX de PCH
Carvão,1827.0,622,285,0,42. Sobrecusto de 100 por cento no CAPEX de PCH
Nuclear,1724.0,2962,3007,3007,42. Sobrecusto de 100 por cento no CAPEX de PCH
Óleos Comb,310.0,0,0,0,42. Sobrecusto de 100 por cento no CAPEX de PCH
Biomassa,4036.0,7332,7068,6838,42. Sobrecusto de 100 por cento no CAPEX de PCH
Eólica,2886.0,22018,47610,63705,42. Sobrecusto de 100 por cento no CAPEX de PCH
Solar,5.0,545,1327,12231,42. Sobrecusto de 100 por cento no CAPEX de PCH
Outros,427.0,427,427,427,42. Sobrecusto de 100 por cento no CAPEX de PCH
Pot. Compl.,0.0,0,0,0,42. Sobrecusto de 100 por cento no CAPEX de PCH
GD,1.0,3014,6338,11463,42. Sobrecusto de 100 por cento no CAPEX de PCH
Hidro,48825.0,71326,75694,75666,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Gás Natural,5788.0,4841,6753,10465,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Carvão,1827.0,641,285,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Nuclear,1724.0,2962,3007,3052,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Óleos Comb,310.0,0,0,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Biomassa,4036.0,4640,4375,4145,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Eólica,2886.0,23110,48376,67157,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Solar,5.0,1722,7002,19087,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Outros,427.0,427,427,427,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Pot. Compl.,0.0,0,0,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
GD,1.0,3014,6338,11463,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Hidro,49442.0,54439,61696,62058,36. Estagnaç╞o
Gás Natural,5957.0,2256,1720,987,36. Estagnaç╞o
Carvão,1827.0,235,208,0,36. Estagnaç╞o
Nuclear,1724.0,2872,2917,2917,36. Estagnaç╞o
Óleos Comb,772.0,0,0,0,36. Estagnaç╞o
Biomassa,4036.0,4587,4326,4096,36. Estagnaç╞o
Eólica,2886.0,7130,2186,2291,36. Estagnaç╞o
Solar,5.0,545,0,0,36. Estagnaç╞o
Outros,427.0,427,427,427,36. Estagnaç╞o
Pot. Compl.,0.0,0,0,0,36. Estagnaç╞o
GD,0.0,1146,2092,3664,36. Estagnaç╞o
Hidro,48825.0,67367,77002,79310,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Gás Natural,5788.0,3593,5296,8413,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Carvão,1827.0,622,246,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Nuclear,1724.0,2962,2962,3007,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Óleos Comb,310.0,0,0,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Biomassa,4036.0,14128,16580,17077,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Eólica,2886.0,20024,42079,66622,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
