Tipo Expansão,Ano 2012,Ano 2015,Cenário
Expansão por GD,99.0,65,64. GN Pré-Sal ao preço de US$ 6MMBtu
Expansão Centralizada,595.0,750,60. Expans╞o de 10.000 MW de Usinas Nucleares
Expansão por GD,99.0,65,60. Expans╞o de 10.000 MW de Usinas Nucleares
Expansão Centralizada,592.0,745,16. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão por GD,99.0,65,16. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão Centralizada,590.0,743,59. Expans╞o de 8.000 MW de Usinas Nucleares
Expansão por GD,99.0,65,59. Expans╞o de 8.000 MW de Usinas Nucleares
Expansão Centralizada,605.0,763,13. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Expansão por GD,99.0,65,13. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Expansão Centralizada,588.0,740,21. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Expansão por GD,99.0,65,21. Reduç╞o de 50 por cento no CAPEX de Usina Nuclear
Expansão Centralizada,571.0,719,44. Integraç╞o Elétrica com países da América do Sul
Expansão por GD,99.0,65,44. Integraç╞o Elétrica com países da América do Sul
Expansão Centralizada,556.0,701,17. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão por GD,99.0,65,17. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão Centralizada,648.0,816,12. Frota de veículos leves integralmente elétrica em 2050
Expansão por GD,99.0,65,12. Frota de veículos leves integralmente elétrica em 2050
Expansão Centralizada,608.0,766,37. Matriz Elétrica com expans╞o 100 por cento renovável
Expansão por GD,99.0,65,37. Matriz Elétrica com expans╞o 100 por cento renovável
