Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Nuclear,1652,2983,2983,2983,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Óleos Comb,3340,0,0,0,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Biomassa,3985,6645,8001,9008,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Eólica,594,11507,21322,38024,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Solar,3,1386,8560,8560,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Outros,452,452,452,452,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Pot. Compl.,0,11330,30929,55623,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
GD,0,904,2005,3733,11. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Hidro,63353,95081,106590,107849,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Gás Natural,9971,15799,23338,25504,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Carvão,2380,1689,255,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Nuclear,1652,2983,2983,2983,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Óleos Comb,4082,0,0,0,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Biomassa,4040,7276,7103,6886,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Eólica,1334,13174,30439,43670,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Solar,4,434,931,4931,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Outros,452,452,452,452,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Pot. Compl.,0,12302,28746,59032,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
GD,0,904,2005,3733,51. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Hidro,63695,95449,93174,94710,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Gás Natural,10652,19184,33890,39178,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Carvão,2108,2635,1821,1551,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Nuclear,1652,2983,2983,2983,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Óleos Comb,4156,0,0,0,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Biomassa,4212,6645,7865,7648,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Eólica,338,8006,20917,37034,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Solar,3,1386,11431,17482,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Outros,452,452,452,452,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Pot. Compl.,0,12450,28303,50268,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
GD,0,904,2005,3733,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Hidro,63959,95535,107592,107428,42. Sobrecusto de 100% no CAPEX de PCH
Gás Natural,10476,18469,27644,35650,42. Sobrecusto de 100% no CAPEX de PCH
Carvão,2380,2635,1772,1772,42. Sobrecusto de 100% no CAPEX de PCH
Nuclear,1652,2983,2983,2983,42. Sobrecusto de 100% no CAPEX de PCH
Óleos Comb,3820,0,0,0,42. Sobrecusto de 100% no CAPEX de PCH
Biomassa,3951,6645,8001,8377,42. Sobrecusto de 100% no CAPEX de PCH
Eólica,574,11015,19780,37497,42. Sobrecusto de 100% no CAPEX de PCH
Solar,4,1386,7518,7518,42. Sobrecusto de 100% no CAPEX de PCH
Outros,452,452,452,452,42. Sobrecusto de 100% no CAPEX de PCH
Pot. Compl.,0,10071,25095,49629,42. Sobrecusto de 100% no CAPEX de PCH
GD,0,904,2005,3733,42. Sobrecusto de 100% no CAPEX de PCH
Hidro,63959,95535,107592,107428,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Gás Natural,10476,18469,27644,35650,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Carvão,2380,2635,1772,1772,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Nuclear,1652,2983,2983,2983,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Óleos Comb,3820,0,0,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Biomassa,3951,6645,8001,8377,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Eólica,574,11015,19780,37497,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Solar,4,1386,7518,7518,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Outros,452,452,452,452,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Pot. Compl.,0,10071,25095,49629,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
GD,0,904,2005,3733,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Hidro,64463,82431,86841,87235,36. Estagnação
Gás Natural,10147,6921,7372,7023,36. Estagnação
Carvão,2107,1689,255,0,36. Estagnação
Nuclear,1652,2983,2983,2983,36. Estagnação
Óleos Comb,4365,0,0,0,36. Estagnação
Biomassa,4015,4945,4771,4554,36. Estagnação
Eólica,1272,4305,1437,1506,36. Estagnação
Solar,4,434,0,0,36. Estagnação
Outros,452,452,452,452,36. Estagnação
Pot. Compl.,0,190,5039,5303,36. Estagnação
GD,0,406,811,1248,36. Estagnação
Hidro,63695,95449,93174,94710,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Gás Natural,10652,19184,33890,39178,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Carvão,2108,2635,1821,1551,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Nuclear,1652,2983,2983,2983,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Óleos Comb,4156,0,0,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Biomassa,4212,6645,7865,7648,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Eólica,338,8006,20917,37034,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Solar,3,1386,11431,17482,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Outros,452,452,452,452,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Pot. Compl.,0,12450,28303,50268,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
GD,0,904,2005,3733,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Hidro,62432,95797,93700,91331,24. Expansão de 8.000 MW de Usinas Nucleares
Gás Natural,10652,19540,31481,38224,24. Expansão de 8.000 MW de Usinas Nucleares
Carvão,2380,2635,1821,1821,24. Expansão de 8.000 MW de Usinas Nucleares
Nuclear,1652,2983,6304,9624,24. Expansão de 8.000 MW de Usinas Nucleares
Óleos Comb,4244,0,0,0,24. Expansão de 8.000 MW de Usinas Nucleares
Biomassa,4184,6645,7865,7478,24. Expansão de 8.000 MW de Usinas Nucleares
Eólica,1269,10631,19030,34777,24. Expansão de 8.000 MW de Usinas Nucleares
Solar,3,1386,11431,15424,24. Expansão de 8.000 MW de Usinas Nucleares
Outros,452,452,452,452,24. Expansão de 8.000 MW de Usinas Nucleares
Pot. Compl.,0,9121,28752,52174,24. Expansão de 8.000 MW de Usinas Nucleares
GD,0,904,2005,3733,24. Expansão de 8.000 MW de Usinas Nucleares
Hidro,64227,92244,91775,82749,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Gás Natural,9622,13280,14026,13676,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Carvão,1840,1689,255,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Nuclear,1652,2983,2983,2983,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Óleos Comb,4235,0,0,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Biomassa,4132,7127,6953,6736,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Eólica,1105,15868,31847,48668,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Solar,3,1271,8204,16795,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Outros,452,452,0,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Pot. Compl.,0,14277,44793,79697,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
GD,0,904,2005,3733,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Hidro,63959,95535,107592,107428,62. Capacidade Instalada de GD alcança 75 GW em 2050
Gás Natural,10476,18469,27644,35650,62. Capacidade Instalada de GD alcança 75 GW em 2050
Carvão,2380,2635,1772,1772,62. Capacidade Instalada de GD alcança 75 GW em 2050
Nuclear,1652,2983,2983,2983,62. Capacidade Instalada de GD alcança 75 GW em 2050
Óleos Comb,3820,0,0,0,62. Capacidade Instalada de GD alcança 75 GW em 2050
Biomassa,3951,6645,8001,8377,62. Capacidade Instalada de GD alcança 75 GW em 2050
Eólica,574,11015,19780,37497,62. Capacidade Instalada de GD alcança 75 GW em 2050
Solar,4,1386,7518,7518,62. Capacidade Instalada de GD alcança 75 GW em 2050
Outros,452,452,452,452,62. Capacidade Instalada de GD alcança 75 GW em 2050
Pot. Compl.,0,10071,25095,49629,62. Capacidade Instalada de GD alcança 75 GW em 2050
GD,1,1356,3007,5600,62. Capacidade Instalada de GD alcança 75 GW em 2050
Hidro,63959,95535,107592,107428,32. UHEs em áreas de interferência com CAPEX dobrado
Gás Natural,10476,18469,27644,35650,32. UHEs em áreas de interferência com CAPEX dobrado
Carvão,2380,2635,1772,1772,32. UHEs em áreas de interferência com CAPEX dobrado
Nuclear,1652,2983,2983,2983,32. UHEs em áreas de interferência com CAPEX dobrado
Óleos Comb,3820,0,0,0,32. UHEs em áreas de interferência com CAPEX dobrado
Biomassa,3951,6645,8001,8377,32. UHEs em áreas de interferência com CAPEX dobrado
Eólica,574,11015,19780,37497,32. UHEs em áreas de interferência com CAPEX dobrado
Solar,4,1386,7518,7518,32. UHEs em áreas de interferência com CAPEX dobrado
Outros,452,452,452,452,32. UHEs em áreas de interferência com CAPEX dobrado
Pot. Compl.,0,10071,25095,49629,32. UHEs em áreas de interferência com CAPEX dobrado
GD,0,904,2005,3733,32. UHEs em áreas de interferência com CAPEX dobrado
