Fonte/Tecnologia,Ano 2015,Ano 2030,Ano 2040,Ano 2050,Cenário
Gás Natural,5804,4416,4732,8704,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Carvão,1828,584,285,0,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Nuclear,1725,2918,3008,3008,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Óleos Comb,311,0,0,0,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Biomassa,4037,8169,7905,7675,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Eólica,2887,20089,44786,68363,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Solar,5,545,1327,7709,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Outros,428,428,428,428,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Pot. Compl.,0,0,0,0,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
GD,2,3015,6339,11464,46. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% menor
Hidro,48826,71054,80195,83297,42. Sobrecusto de 100% no CAPEX de PCH
Gás Natural,5788,4708,6001,10497,42. Sobrecusto de 100% no CAPEX de PCH
Carvão,1828,623,285,0,42. Sobrecusto de 100% no CAPEX de PCH
Nuclear,1725,2963,3008,3008,42. Sobrecusto de 100% no CAPEX de PCH
Óleos Comb,311,0,0,0,42. Sobrecusto de 100% no CAPEX de PCH
Biomassa,4037,7333,7068,6839,42. Sobrecusto de 100% no CAPEX de PCH
Eólica,2887,22019,47611,63705,42. Sobrecusto de 100% no CAPEX de PCH
Solar,5,545,1327,12232,42. Sobrecusto de 100% no CAPEX de PCH
Outros,428,428,428,428,42. Sobrecusto de 100% no CAPEX de PCH
Pot. Compl.,0,0,0,0,42. Sobrecusto de 100% no CAPEX de PCH
GD,2,3015,6339,11464,42. Sobrecusto de 100% no CAPEX de PCH
Hidro,48826,71327,75695,75667,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Gás Natural,5788,4842,6754,10465,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Carvão,1828,641,285,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Nuclear,1725,2963,3008,3053,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Óleos Comb,311,0,0,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Biomassa,4037,4640,4376,4146,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Eólica,2887,23110,48376,67158,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Solar,5,1722,7003,19088,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Outros,428,428,428,428,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Pot. Compl.,0,0,0,0,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
GD,2,3015,6339,11464,31. Potencial Inventariado Total exceto UHEs em áreas de interferência com Terras Indígenas e Quilombolas (TI)
Hidro,49443,54440,61696,62059,36. Estagnação
Gás Natural,5957,2256,1721,988,36. Estagnação
Carvão,1828,236,208,0,36. Estagnação
Nuclear,1725,2873,2918,2918,36. Estagnação
Óleos Comb,772,0,0,0,36. Estagnação
Biomassa,4037,4587,4326,4097,36. Estagnação
Eólica,2887,7130,2186,2292,36. Estagnação
Solar,5,545,0,0,36. Estagnação
Outros,428,428,428,428,36. Estagnação
Pot. Compl.,0,0,0,0,36. Estagnação
GD,1,1146,2092,3664,36. Estagnação
Hidro,48826,67367,77002,79311,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Gás Natural,5788,3594,5297,8413,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Carvão,1828,623,247,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Nuclear,1725,2963,2963,3008,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Óleos Comb,311,0,0,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Biomassa,4037,14129,16580,17077,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Eólica,2887,20025,42080,66622,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Solar,5,545,1327,5146,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Outros,428,428,428,428,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Pot. Compl.,0,0,0,0,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
GD,2,3015,6339,11464,52. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Hidro,48809,70504,73062,71909,24. Expansão de 8.000 MW de Usinas Nucleares
Gás Natural,5804,4935,6904,9546,24. Expansão de 8.000 MW de Usinas Nucleares
Carvão,1828,623,285,0,24. Expansão de 8.000 MW de Usinas Nucleares
Nuclear,1725,2963,6288,10159,24. Expansão de 8.000 MW de Usinas Nucleares
Óleos Comb,311,0,0,0,24. Expansão de 8.000 MW de Usinas Nucleares
Biomassa,4037,4557,4326,4097,24. Expansão de 8.000 MW de Usinas Nucleares
Eólica,2887,23941,47141,64292,24. Expansão de 8.000 MW de Usinas Nucleares
Solar,5,1722,7489,19574,24. Expansão de 8.000 MW de Usinas Nucleares
Outros,428,428,428,428,24. Expansão de 8.000 MW de Usinas Nucleares
Pot. Compl.,0,0,0,0,24. Expansão de 8.000 MW de Usinas Nucleares
GD,2,3015,6339,11464,24. Expansão de 8.000 MW de Usinas Nucleares
Hidro,48809,69534,69347,64137,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Gás Natural,5804,3837,2877,783,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Carvão,1828,584,247,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Nuclear,1725,2963,2963,2963,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Óleos Comb,311,0,0,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Biomassa,4037,5588,5328,4750,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Eólica,2887,25017,53622,83747,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Solar,5,1722,11540,23625,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Outros,428,428,0,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Pot. Compl.,0,0,0,0,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
GD,2,3015,6339,11464,3. Matriz Elétrica com expansão a partir de tecnologias não emissoras de GEE
Hidro,48825,72773,81719,84508,62. Capacidade Instalada de GD alcança 75 GW em 2050
Gás Natural,5788,4750,5023,9971,62. Capacidade Instalada de GD alcança 75 GW em 2050
Carvão,1828,623,285,0,62. Capacidade Instalada de GD alcança 75 GW em 2050
Nuclear,1725,2963,3008,3008,62. Capacidade Instalada de GD alcança 75 GW em 2050
Óleos Comb,311,0,0,0,62. Capacidade Instalada de GD alcança 75 GW em 2050
Biomassa,4037,6604,6339,6109,62. Capacidade Instalada de GD alcança 75 GW em 2050
Eólica,2887,19480,42693,63938,62. Capacidade Instalada de GD alcança 75 GW em 2050
Solar,5,545,3259,6311,62. Capacidade Instalada de GD alcança 75 GW em 2050
Outros,428,428,428,428,62. Capacidade Instalada de GD alcança 75 GW em 2050
Pot. Compl.,0,0,0,0,62. Capacidade Instalada de GD alcança 75 GW em 2050
GD,2,4522,9508,17195,62. Capacidade Instalada de GD alcança 75 GW em 2050
Hidro,48826,70471,73918,72947,32. UHEs em áreas de interferência com CAPEX dobrado
Gás Natural,5788,4936,7039,10373,32. UHEs em áreas de interferência com CAPEX dobrado
Carvão,1828,623,285,0,32. UHEs em áreas de interferência com CAPEX dobrado
Nuclear,1725,2963,3008,3053,32. UHEs em áreas de interferência com CAPEX dobrado
Óleos Comb,311,0,0,0,32. UHEs em áreas de interferência com CAPEX dobrado
Biomassa,4037,4591,4326,4097,32. UHEs em áreas de interferência com CAPEX dobrado
Eólica,2887,23940,47740,67843,32. UHEs em áreas de interferência com CAPEX dobrado
Solar,5,1722,9180,21265,32. UHEs em áreas de interferência com CAPEX dobrado
Outros,428,428,428,428,32. UHEs em áreas de interferência com CAPEX dobrado
Pot. Compl.,0,0,0,0,32. UHEs em áreas de interferência com CAPEX dobrado
GD,2,3015,6339,11464,32. UHEs em áreas de interferência com CAPEX dobrado
Hidro,48833,73128,80642,85361,10. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
Gás Natural,5788,5698,10922,20845,10. Integração Elétrica com países da América do Sul com custo do sistema de transmissão 50% maior
